SBL,Latitute,Longtitute,X,PROB,RiskLevel
10652000020070000000,-77.58114322,43.17075087,2387,0.887888944023283,High
10652000020340000000,-77.58022948,43.16894086,2389,0.0665704355984766,Low
10652000030010000000,-77.58009104,43.17077499,2390,0.916946884919682,High
10652000030090000000,-77.5794724,43.1703555,2392,0.0168122696981909,Low
10652000030180000000,-77.57913839,43.16971503,2397,0.947472325148364,High
10652000030200000000,-77.57964792,43.16991108,2400,0.00326268210638134,Low
10652000030210000000,-77.57970635,43.16971652,2401,0.00331297603242843,Low
10653000010010000000,-77.62287988,43.16706195,2402,0.00124780816511169,Low
10653000010030000000,-77.62259541,43.16680623,2403,1.3649694743712e-4,Low
10653000010040000000,-77.62217413,43.16625684,2404,0.00147307881725712,Low
10654000010020000000,-77.61335376,43.16826761,2406,0.00268042867037127,Low
10654000010260000000,-77.61612256,43.16704705,2409,0.00124409229977942,Low
10654000010270000000,-77.61600486,43.16693978,2410,0.00675432479027807,Low
10654000010280000000,-77.61589591,43.16683532,2411,6.40506955181296e-4,Low
10654000010350000000,-77.61645063,43.16608986,2416,0.00622825731553422,Low
10654000010370000000,-77.61794346,43.16623007,2417,0.0118654573486459,Low
10655000010190000000,-77.60972214,43.16788009,2421,0.98821020707167,High
10655000010210000000,-77.60849821,43.16607704,2425,0.829043754872669,High
10655000010220000000,-77.60975042,43.1668716,2426,0.949453078784341,High
10656000010010000000,-77.60267039,43.16844627,2432,0.00424894354151325,Low
10656000010020000000,-77.60134273,43.16866067,2433,0.977500616940971,High
10656000010040000000,-77.6013668,43.16848175,2434,0.431617180786368,Mid
10656000010050000000,-77.60149179,43.16831036,2435,2.13486066869043e-4,Low
10656000010060000000,-77.60153607,43.16816748,2436,7.00273654714234e-4,Low
10656000010080000000,-77.60122739,43.16822159,2437,0.00509918808055802,Low
10656000010120000000,-77.60135316,43.16777718,2439,0.0514678272558243,Low
10656000010210000000,-77.60089006,43.16704451,2442,0.00255435528607059,Low
10656000010220000000,-77.60174464,43.16699549,2443,0.00118397500519962,Low
10656000010320000000,-77.60064484,43.16607902,2444,0.198788740520967,Mid
10656000010330000000,-77.60071021,43.16596085,2445,0.504432957230092,Mid
10656000010350000000,-77.60081686,43.16577335,2446,0.0685792471727701,Low
10656000010460000000,-77.60450689,43.16601714,2448,0.0312599539961875,Low
